data/fasta/Test_315.fa
[OK] 4yoc_A → torch.Size([882, 2560])
[OK] 3d48_P → torch.Size([165, 2560])
[OK] 1xqs_A → torch.Size([264, 2560])
[OK] 1f34_A → torch.Size([325, 2560])
[OK] 1ghq_B → torch.Size([129, 2560])
[OK] 2g77_A → torch.Size([331, 2560])
[OK] 3q87_B → torch.Size([164, 2560])
[OK] 3cki_B → torch.Size([121, 2560])
[OK] 3mp7_B → torch.Size([54, 2560])
[OK] 3ph0_C → torch.Size([53, 2560])
[OK] 2c9x_B → torch.Size([81, 2560])
[OK] 4g7x_B → torch.Size([102, 2560])
[OK] 1jmo_L → torch.Size([47, 2560])
[OK] 3shg_B → torch.Size([61, 2560])
[OK] 4gn4_A → torch.Size([129, 2560])
[OK] 2g2u_B → torch.Size([165, 2560])
[OK] 1u0s_A → torch.Size([86, 2560])
[OK] 1udi_I → torch.Size([83, 2560])
[OK] 3cqc_B → torch.Size([186, 2560])
[OK] 1rlb_A → torch.Size([123, 2560])
[OK] 3cbj_B → torch.Size([109, 2560])
[OK] 3ayh_A → torch.Size([134, 2560])
[OK] 4ged_A → torch.Size([268, 2560])
[OK] 3ph0_A → torch.Size([60, 2560])
[OK] 5wy5_B → torch.Size([189, 2560])
[OK] 2mta_L → torch.Size([124, 2560])
[OK] 2fp4_B → torch.Size([393, 2560])
[OK] 2omz_A → torch.Size([466, 2560])
[OK] 2v6x_A → torch.Size([80, 2560])
[OK] 4dfc_A → torch.Size([85, 2560])
[OK] 1ggp_B → torch.Size([254, 2560])
[OK] 1ay7_B → torch.Size([89, 2560])
[OK] 1kac_A → torch.Size([185, 2560])
[OK] 2c9x_A → torch.Size([373, 2560])
[OK] 3czu_B → torch.Size([130, 2560])
[OK] 2hrk_A → torch.Size([177, 2560])
[OK] 1ib1_E → torch.Size([178, 2560])
[OK] 2rd7_C → torch.Size([159, 2560])
[OK] 4e4w_B → torch.Size([213, 2560])
[OK] 1e4k_A → torch.Size([216, 2560])
[OK] 1zbx_B → torch.Size([120, 2560])
[OK] 3viq_B → torch.Size([85, 2560])
[OK] 3r07_C → torch.Size([88, 2560])
[OK] 4nqw_A → torch.Size([148, 2560])
[OK] 3beg_A → torch.Size([348, 2560])
[OK] 2rd7_A → torch.Size([328, 2560])
[OK] 1zbd_B → torch.Size([119, 2560])
[OK] 3mp7_A → torch.Size([387, 2560])
[OK] 3b08_A → torch.Size([151, 2560])
[OK] 1f34_B → torch.Size([138, 2560])
[OK] 2wus_R → torch.Size([87, 2560])
[OK] 4bi8_B → torch.Size([163, 2560])
[OK] 3czu_A → torch.Size([175, 2560])
[OK] 1ak4_D → torch.Size([145, 2560])
[OK] 3r07_A → torch.Size([255, 2560])
[OK] 2mta_H → torch.Size([373, 2560])
[OK] 4hop_B → torch.Size([120, 2560])
[OK] 2ozn_A → torch.Size([133, 2560])
[OK] 1zbx_A → torch.Size([197, 2560])
[OK] 3viq_A → torch.Size([122, 2560])
[OK] 1gla_F → torch.Size([161, 2560])
[OK] 4cdg_C → torch.Size([122, 2560])
[OK] 1mg9_A → torch.Size([84, 2560])
[OK] 3dgp_B → torch.Size([63, 2560])
[OK] 4emj_A → torch.Size([406, 2560])
[OK] 1ml0_A → torch.Size([371, 2560])
[OK] 1gcq_B → torch.Size([57, 2560])
[OK] 1z3e_A → torch.Size([119, 2560])
[OK] 1mg9_B → torch.Size([143, 2560])
[OK] 2fhz_A → torch.Size([106, 2560])
[OK] 2fcw_A → torch.Size([106, 2560])
[OK] 1tdq_B → torch.Size([126, 2560])
[OK] 3vrd_B → torch.Size([398, 2560])
[OK] 3di3_A → torch.Size([118, 2560])
[OK] 3cpj_G → torch.Size([438, 2560])
[OK] 3fju_B → torch.Size([65, 2560])
[OK] 1svd_A → torch.Size([445, 2560])
[OK] 4g6t_B → torch.Size([71, 2560])
[OK] 3vrd_A → torch.Size([174, 2560])
[OK] 3s97_A → torch.Size([266, 2560])
[OK] 1itb_A → torch.Size([153, 2560])
[OK] 1ak4_A → torch.Size([165, 2560])
[OK] 3bh7_B → torch.Size([314, 2560])
[OK] 3cx8_A → torch.Size([319, 2560])
[OK] 4e6n_A → torch.Size([407, 2560])
[OK] 4m70_B → torch.Size([91, 2560])
[OK] 3nyb_A → torch.Size([323, 2560])
data/fasta/Test_60.fa
[OK] 2v9t_A → torch.Size([107, 2560])
[OK] 4h3k_B → torch.Size([189, 2560])
[OK] 3uvj_A → torch.Size([191, 2560])
[OK] 4emj_B → torch.Size([106, 2560])
[OK] 4je3_B → torch.Size([77, 2560])
[OK] 3cf4_A → torch.Size([766, 2560])
[OK] 4g6t_A → torch.Size([128, 2560])
[OK] 4nqw_B → torch.Size([73, 2560])
[OK] 3tu3_A → torch.Size([119, 2560])
[OK] 1e96_B → torch.Size([185, 2560])
[OK] 1v74_A → torch.Size([107, 2560])
[OK] 3mcb_A → torch.Size([54, 2560])
[OK] 1qa9_A → torch.Size([102, 2560])
[OK] 2qkl_A → torch.Size([121, 2560])
[OK] 3zhe_B → torch.Size([390, 2560])
[OK] 1t6b_Y → torch.Size([170, 2560])
[OK] 3f6q_A → torch.Size([169, 2560])
[OK] 4m70_H → torch.Size([112, 2560])
[OK] 2apo_B → torch.Size([52, 2560])
[OK] 3s97_C → torch.Size([197, 2560])
[OK] 1qa9_B → torch.Size([95, 2560])
[OK] 2y9w_A → torch.Size([391, 2560])
[OK] 3fju_A → torch.Size([307, 2560])
[OK] 1gl4_A → torch.Size([273, 2560])
[OK] 1ay7_A → torch.Size([96, 2560])
[OK] 2c0l_A → torch.Size([292, 2560])
[OK] 1wpx_A → torch.Size([421, 2560])
[OK] 3vz9_D → torch.Size([60, 2560])
[OK] 4hlu_A → torch.Size([265, 2560])
[OK] 1h32_B → torch.Size([135, 2560])
[OK] 4e6n_B → torch.Size([218, 2560])
[OK] 2c0l_B → torch.Size([122, 2560])
[OK] 2fhz_B → torch.Size([93, 2560])
[OK] 2ehb_A → torch.Size([182, 2560])
[OK] 2g2u_A → torch.Size([265, 2560])
[OK] 3cbj_A → torch.Size([258, 2560])
[OK] 1gla_G → torch.Size([489, 2560])
[OK] 3shg_A → torch.Size([198, 2560])
[OK] 1ggp_A → torch.Size([234, 2560])
[OK] 4joi_A → torch.Size([141, 2560])
[OK] 1ta3_A → torch.Size([274, 2560])
[OK] 2b42_A → torch.Size([364, 2560])
[OK] 4kt3_A → torch.Size([138, 2560])
[OK] 3q87_A → torch.Size([122, 2560])
[OK] 1jmo_A → torch.Size([425, 2560])
[OK] 3ocd_B → torch.Size([180, 2560])
[OK] 2d74_A → torch.Size([403, 2560])
[OK] 4cdg_A → torch.Size([625, 2560])
[OK] 1b6c_B → torch.Size([326, 2560])
[OK] 2dvw_A → torch.Size([229, 2560])
[OK] 2ot3_A → torch.Size([253, 2560])
[OK] 2yc2_A → torch.Size([132, 2560])
[OK] 2v4z_B → torch.Size([122, 2560])
[OK] 1ewy_C → torch.Size([98, 2560])
[OK] 7cei_B → torch.Size([127, 2560])
[OK] 1r8s_E → torch.Size([187, 2560])
[OK] 3fmo_A → torch.Size([421, 2560])
[OK] 3o3m_B → torch.Size([373, 2560])
[OK] 3cqc_A → torch.Size([247, 2560])
[OK] 4kbm_B → torch.Size([148, 2560])
